timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1441193774037995,-4,1,1,29,3,-2,-2,-5
1441193774037995,15,0,1,19,1,-2,3,7
1441193774051000,37,12,-5,-10,-1,4,-4,6
1441193774051000,2,7,-2,-21,0,-3,-4,6
1441193774059142,-27,0,0,8,1,1,-2,-15
1441193774059142,-3,-1,3,18,-1,0,1,3
1441193774074239,19,1,-3,15,-3,0,-1,14
1441193774074239,1,0,1,6,-4,-1,-5,-5
1441193774074997,-23,-3,0,-4,-1,-3,3,-10
1441193774074997,4,-5,3,41,0,-1,-2,3
1441193774097228,17,12,-5,-5,-2,0,-3,-3
1441193774097228,-9,-3,-2,-13,-2,-4,-2,-4
1441193774097996,-13,-32,-1,15,1,2,1,-3
1441193774097996,-5,13,1,6,-6,-3,2,-1
1441193774111009,2,-4,-3,-12,-1,5,2,4
1441193774111009,2,12,0,-11,1,-3,-3,4
1441193774119137,-2,-6,4,1,-5,1,0,-4
1441193774119137,-8,2,2,16,5,1,0,-7
1441193774134107,-3,-3,-7,-6,-2,0,0,0
1441193774134107,7,14,3,8,-2,-3,0,3
1441193774135000,0,21,0,3,-1,-4,-3,-12
1441193774135000,-6,-26,-3,4,-2,-1,-1,-1
1441193774157001,5,18,0,2,5,-6,-2,0
1441193774157001,-7,-8,-3,-15,-5,-1,1,3
1441193774158001,-7,-18,-2,9,1,-3,-1,-1
1441193774158001,-10,14,-2,7,-3,-1,-3,-6
1441193774171040,5,-26,-3,-2,0,-4,-1,3
1441193774171040,0,-1,-2,-6,2,4,-5,1
1441193774179144,-4,10,0,0,-1,0,4,-2
1441193774179144,4,-9,-2,6,-3,-4,-2,2
1441193774194110,-1,4,0,-1,-6,-2,-1,-2
1441193774194110,-3,-8,0,-4,-2,2,0,0
1441193774195000,1,2,1,3,-2,2,1,1
1441193774195000,4,5,4,4,0,0,-1,1
1441193774218001,2,8,-3,-4,0,0,-5,0
1441193774218001,-7,-40,-6,-1,-2,2,2,0
1441193774220003,-5,5,-3,-1,1,-1,1,-2
1441193774220003,2,-1,0,4,-1,-4,2,-1
1441193774231063,-1,3,-1,-3,-1,3,0,-2
1441193774231063,4,3,2,2,-4,0,0,-1
1441193774239134,0,1,0,1,0,-1,-2,-3
1441193774239134,-2,-1,-1,1,-2,-2,-2,-1
1441193774254151,0,-2,2,3,-2,5,-3,-2
1441193774254151,-1,6,2,3,-1,1,-2,0
1441193774256001,-4,0,3,-2,0,-2,-2,-2
1441193774256001,0,0,2,1,3,0,1,3
1441193774277226,-1,0,-3,-2,0,0,0,0
1441193774277226,-2,-3,-2,0,-3,-2,-2,-2
1441193774278004,-3,-6,-1,-1,-1,-3,0,-2
1441193774278004,-3,1,0,2,-1,0,-2,-1
1441193774291061,-2,5,-4,-6,2,-1,-1,-3
1441193774291061,2,2,-1,-2,-1,-2,-1,-3
1441193774299125,1,2,-3,0,-4,3,2,1
1441193774299125,-5,-11,1,-1,1,-2,-1,-1
1441193774314195,-3,-3,0,-3,-3,-2,1,-2
1441193774314195,2,12,6,2,-3,1,1,1
1441193774315031,3,0,-4,0,-1,-2,-2,1
1441193774315031,-2,-8,0,1,-3,-3,-1,-3
1441193774337003,-2,4,-2,3,-2,3,-1,0
1441193774337003,-1,-2,0,-1,-1,1,-2,-1
1441193774338004,-1,3,-2,0,1,1,1,0
1441193774338004,1,2,-2,3,1,-2,-2,-1
1441193774359250,-3,-7,-3,1,-4,-3,-2,-2
1441193774359250,-1,-1,-1,0,5,-2,1,-1
1441193774360002,0,-3,1,-1,-2,-1,-1,-3
1441193774360002,2,2,1,1,-2,1,-3,-1
1441193774373205,2,1,-1,-1,2,-6,-1,-2
1441193774373205,-3,-2,-3,3,0,-1,-3,0
1441193774382003,0,1,0,0,-2,-1,-1,0
1441193774382003,1,-1,0,-3,1,1,-1,-1
1441193774397188,-2,-4,-1,-7,-4,-1,4,0
1441193774397188,-3,-3,-3,10,-2,-3,-2,-2
1441193774399040,0,-1,-1,-4,0,2,-1,1
1441193774399040,3,1,-3,5,-3,1,-2,-3
1441193774419247,2,1,5,5,0,5,-3,-1
1441193774419247,-2,-4,1,-16,2,-3,-1,-2
1441193774421002,0,-1,1,10,-1,-2,0,0
1441193774421002,-1,0,-3,-8,-4,-4,-1,-1
1441193774433293,-2,-1,-3,0,-2,1,-3,0
1441193774433293,1,-1,-1,-6,-3,4,-1,-3
1441193774442008,-2,0,2,-2,4,-2,-2,0
1441193774442008,-1,-3,-1,-5,3,-2,-1,1
1441193774457162,0,-1,2,3,-3,-3,-1,-1
1441193774457162,-1,-1,0,6,0,3,-3,-2
1441193774459039,-1,-2,-2,-18,0,-2,-1,-1
1441193774459039,0,1,-1,4,-1,1,0,-1
1441193774479259,-2,-2,5,8,1,-1,-1,0
1441193774479259,1,0,-2,3,0,-1,0,2
1441193774481007,0,0,-2,6,-2,1,-3,-2
1441193774481007,-1,-1,-3,8,-3,-1,-2,2
